Id,Category,Application/Tool,Skill Level,Last Used
1,Cloud Computing,AWS Cognito,Intermediate,2024
2,Cloud Computing,AWS Command Line Interface (CLI),Intermediate,2024
3,Cloud Computing,AWS EC2,Advanced,2024
4,Cloud Computing,AWS Elastic Beanstalk,Intermediate,2024
5,Cloud Computing,AWS RDS,Advanced,2024
6,Cloud Computing,AWS S3,Advanced,2024
7,Collaboration,Confluence,Advanced,2024
8,Collaboration,Jira,Advanced,2024
9,Collaboration,Microsoft SharePoint,Advanced,2023
10,Collaboration,Microsoft Teams,Advanced,2023
11,Collaboration,Slack,Advanced,2024
12,Collaboration,Webex,Advanced,2020
13,Collaboration,Zoom,Advanced,2024
14,Database,Microsoft Access,Advanced,2015
15,Database,MySQL,Advanced,2016
16,Database,PostgreSQL,Advanced,2024
17,Database Tools,dBeaver,Intermediate,2022
18,Database Tools,DbVisualizer,Advanced,2024
19,Database Tools,MySQL Workbench,Advanced,2016
20,Database Tools,pgAdmin,Advanced,2024
21,Database Tools,Tableau,Intermediate,2019
22,Development Tools,Atom,Intermediate,2019
23,Development Tools,Jupyter Notebook,Advanced,2023
24,Development Tools,Notepad++,Advanced,2024
25,Development Tools,PyCharm,Advanced,2024
26,Development Tools,Rstudio,Advanced,2020
27,Development Tools,Visual Studio Code,Advanced,2024
28,Genomics,Cytoscape,Intermediate,2022
29,Genomics,Ensembl BioMart,Intermediate,2022
30,Genomics,FDA Adverse Event Reporting System (FAERS),Intermediate,2022
31,Genomics,Gene Expression Omnibus (GEO),Intermediate,2022
32,Genomics,Genome-wide Association Studies (GWAS) Catalog,Intermediate,2022
33,Genomics,Human Genome Organization (HUGO),Intermediate,2022
34,Genomics,Kyoto Encyclopedia of Genes and Genomes (KEGG),Beginner,2022
35,Genomics,National Center for Biotechnology Information (NCBI),Beginner,2022
36,Genomics,Rat Genome Database (RGD),Beginner,2022
37,Geographic,ArcGIS,Advanced,2014
38,Interoperability,Fast Health Interoperability Resources (FHIR),Beginner,2022
39,Interoperability,Protege,Beginner,2022
40,Interoperability,Web Ontology Language (OWL),Intermediate,2022
41,Languages/Frameworks,C++,Intermediate,2000
42,Languages/Frameworks,CSS,Intermediate,2024
43,Languages/Frameworks,D3,Intermediate,2016
44,Languages/Frameworks,Django,Advanced,2024
45,Languages/Frameworks,HTML,Advanced,2024
46,Languages/Frameworks,Java,Intermediate,2022
47,Languages/Frameworks,JavaScript,Advanced,2024
48,Languages/Frameworks,jQuery,Intermediate,2024
49,Languages/Frameworks,Python,Advanced,2024
50,Languages/Frameworks,R,Intermediate,2021
51,Office Suite,LibreOffice,Intermediate,2023
52,Office Suite,Microsoft Office,Advanced,2024
53,Operating Systems,Linux,Advanced,2024
54,Operating Systems,Mac,Intermediate,2023
55,Operating Systems,Windows,Advanced,2024
56,Presentation Tools, Adobe Premiere Elements,Advanced,2022
57,Presentation Tools, iMovie,Advanced,2016
58,Presentation Tools, Inkscape,Beginner,2020
59,Presentation Tools, iPhoto,Advanced,2000
60,Presentation Tools, Lucidchart,Beginner,2024
61,Presentation Tools, PowerPoint,Advanced,2024
62,Presentation Tools,Adobe Photoshop,Advanced,2024
63,Reference Management,Endnote,Advanced,2017
64,Reference Management,Sciwheel,Intermediate,2023
65,Software as a Service (SaaS),Terraform,Beginner,2024
66,Version Control,Bitbucket,Intermediate,2016
67,Version Control,Git,Advanced,2024
68,Version Control,GitHub,Advanced,2024
